date,precipitation,temp_max,temp_min,wind,weather
2014-08-16,0,25.6,15.6,2.2,sun
2014-07-31,0,30.6,17.8,4.1,sun
2012-08-12,0,30.6,15,3,sun
2014-03-23,0,12.8,4.4,3.3,sun
2014-04-13,0,20.6,5.6,3.1,sun
2013-07-14,0,27.8,12.8,3,sun
2014-08-28,0,23.3,14.4,2.3,sun
2014-08-28,0,23.3,14.4,2.3,sun
2015-06-22,0,25,12.8,2.4,sun
2012-07-29,0,22.8,15,2,sun
2015-03-05,0,13.3,2.8,1.3,sun
2014-04-07,0,21.1,9.4,2.5,sun
2012-08-08,0,22.2,15,3.1,sun
2013-03-23,0,10,1.1,2.6,sun
2014-07-20,0,19.4,14.4,2.8,sun
2014-09-30,0,19.4,12.2,2.6,sun
2013-10-23,0,12.8,6.1,0.4,sun
2012-09-30,0,21.1,7.8,3.1,sun
2012-02-02,0,8.3,1.7,2.6,sun
2013-03-03,0,11.1,2.2,2.8,sun
2013-06-10,0,21.7,11.7,3.2,sun
2014-02-08,5.1,5.6,-0.5,4.6,snow
2012-01-18,19.8,0,-2.8,5,snow
2012-12-16,22.6,6.7,3.3,5.5,snow
2012-12-15,5.3,4.4,0.6,5.1,snow
2012-01-20,13.5,7.2,-1.1,2.3,snow
2012-01-17,8.1,3.3,0,5.6,snow
2012-03-13,9.4,5.6,0.6,5.3,snow
2014-02-08,5.1,5.6,-0.5,4.6,snow
2012-01-20,13.5,7.2,-1.1,2.3,snow
2012-03-13,9.4,5.6,0.6,5.3,snow
2012-12-16,22.6,6.7,3.3,5.5,snow
2012-01-20,13.5,7.2,-1.1,2.3,snow
2012-01-20,13.5,7.2,-1.1,2.3,snow
2012-12-15,5.3,4.4,0.6,5.1,snow
2012-01-20,13.5,7.2,-1.1,2.3,snow
2012-02-26,1.3,5,-1.1,3.4,snow
2012-01-20,13.5,7.2,-1.1,2.3,snow
2012-12-16,22.6,6.7,3.3,5.5,snow
2012-12-16,22.6,6.7,3.3,5.5,snow
2012-01-20,13.5,7.2,-1.1,2.3,snow
2012-01-20,13.5,7.2,-1.1,2.3,snow
2012-01-19,15.2,-1.1,-2.8,1.6,snow
2012-01-15,5.3,1.1,-3.3,3.2,snow
2012-01-17,8.1,3.3,0,5.6,snow
2012-12-16,22.6,6.7,3.3,5.5,snow
2012-12-16,22.6,6.7,3.3,5.5,snow
2015-07-27,0,23.3,12.2,1.9,fog
2014-10-09,0,17.2,11.1,1,fog
2014-09-20,0,24.4,14.4,4.4,fog
2015-06-30,0,30.6,15,3.4,fog
2015-02-16,0,15,5.6,6.6,fog
2015-01-20,0,10,3.3,3,fog
2015-09-30,0,18.3,10,1.3,fog
2015-10-08,0,18.9,13.3,1.1,fog
2015-11-20,0,8.3,0.6,4,fog
2015-10-23,0,12.8,7.2,2.6,fog
2015-01-06,0,12.2,6.1,1.3,fog
2015-11-20,0,8.3,0.6,4,fog
2015-10-02,0,15.6,10,2.9,fog
2015-10-02,0,15.6,10,2.9,fog
2015-01-12,0,11.1,4.4,1.6,fog
2014-09-20,0,24.4,14.4,4.4,fog
2012-07-11,0,27.8,13.3,2.9,fog
2015-05-20,0,23.3,10.6,1.8,fog
2013-10-16,0,12.8,8.9,2.7,fog
2013-07-22,0,26.1,13.3,2.4,fog
2014-09-20,0,24.4,14.4,4.4,fog
2015-01-06,0,12.2,6.1,1.3,fog
2015-10-02,0,15.6,10,2.9,fog
2015-09-21,0,18.3,9.4,2.7,fog
2014-09-20,0,24.4,14.4,4.4,fog
2013-10-16,0,12.8,8.9,2.7,fog
